date,date_end,site,site_name,air_pressure,air_temp,air_temp_wet_bulb,dew_point,precipitation,rh,voltage,wd,wind_chill,ws
2019-01-19T12:00:00Z,2019-01-19T12:59:59Z,yscc,York Sport Cycle Circuit,1008.35,2.76,2.1,1.24,,89.71,13,15.14,2.23,1.17
2019-01-19T13:00:00Z,2019-01-19T13:59:59Z,yscc,York Sport Cycle Circuit,1008.22,3.14,2.41,1.45,0,88.65,12.72,14.23,2.47,1.19
2019-01-19T14:00:00Z,2019-01-19T14:59:59Z,yscc,York Sport Cycle Circuit,1007.89,3.54,2.74,1.72,0,87.91,12.65,1.18,3.53,0.78
2019-01-19T15:00:00Z,2019-01-19T15:59:59Z,yscc,York Sport Cycle Circuit,1007.96,3.5,2.65,1.56,0,87.09,12.53,2.86,2.42,1.48
2019-01-19T16:00:00Z,2019-01-19T16:59:59Z,yscc,York Sport Cycle Circuit,1008.23,3.4,2.37,1.01,0,84.4,12.47,359.37,2.77,1.05
2019-01-19T17:00:00Z,2019-01-19T17:59:59Z,yscc,York Sport Cycle Circuit,1008.64,3.3,2.3,0.95,0,84.6,12.47,356.69,2.64,1.08
2019-01-19T18:00:00Z,2019-01-19T18:59:59Z,yscc,York Sport Cycle Circuit,1009.15,3.13,2.13,0.78,0,84.55,12.4,353.75,2.78,0.88
2019-01-19T19:00:00Z,2019-01-19T19:59:59Z,yscc,York Sport Cycle Circuit,1009.43,3.02,2.14,0.97,0,86.38,12.4,343.02,3.57,0.57
2019-01-19T20:00:00Z,2019-01-19T20:59:59Z,yscc,York Sport Cycle Circuit,1009.74,2.91,2.12,1.06,0,87.63,12.4,338.72,3.54,0.58
2019-01-19T21:00:00Z,2019-01-19T21:59:59Z,yscc,York Sport Cycle Circuit,1010.19,2.71,1.99,1.03,0,88.74,12.4,316.87,3.09,0.61
2019-01-19T22:00:00Z,2019-01-19T22:59:59Z,yscc,York Sport Cycle Circuit,1010.49,2.64,1.97,1.07,0,89.4,12.4,325.82,3.14,0.59
2019-01-19T23:00:00Z,2019-01-19T23:59:59Z,yscc,York Sport Cycle Circuit,1010.98,2.7,2.09,1.28,0,90.36,12.4,336.4,2.66,0.82
2019-01-20T00:00:00Z,2019-01-20T00:59:59Z,yscc,York Sport Cycle Circuit,1011.4,2.96,2.42,1.72,0,91.58,12.4,3.73,3.25,0.69
2019-01-20T01:00:00Z,2019-01-20T01:59:59Z,yscc,York Sport Cycle Circuit,1011.62,2.99,2.47,1.8,0,91.9,12.4,359.63,3.93,0.48
2019-01-20T02:00:00Z,2019-01-20T02:59:59Z,yscc,York Sport Cycle Circuit,1011.95,2.86,2.37,1.73,0,92.33,12.4,359.73,2.45,0.92
2019-01-20T03:00:00Z,2019-01-20T03:59:59Z,yscc,York Sport Cycle Circuit,1012.27,2.79,2.3,1.66,0,92.24,12.4,354.28,2.9,0.67
2019-01-20T04:00:00Z,2019-01-20T04:59:59Z,yscc,York Sport Cycle Circuit,1012.6,2.73,2.26,1.65,0,92.62,12.35,351.72,4.06,0.31
2019-01-20T05:00:00Z,2019-01-20T05:59:59Z,yscc,York Sport Cycle Circuit,1012.78,2.65,2.21,1.64,0,93.05,12.3,352.65,3.5,0.49
